TESTCASE ID,Tên testcase(Mục đích),Các bước thực hiện ,Kết quả mong muốn,Độ ưu tiên,Kết quả thực tế ,Trạng thái,Ghi chú,Dev,Unnamed: 9
TC_T02_016,Kiểm tra upload ảnh thiếu CCCD,1. Upload selfie không có CCCD,Hệ thống yêu cầu upload lại,High,,,,,
TC_T02_017,Kiểm tra upload ảnh không có khuôn mặt,1. Upload ảnh chỉ có CCCD,Hiển thị lỗi xác minh ảnh,Medium,,,,,
TC_T02_018,Kiểm tra bỏ trống toàn bộ field,"1. Không nhập dữ liệu 
 2. Nhấn gửi đăng ký",Hiển thị validate tất cả field bắt buộc,Medium,,,,,
TC_T02_019,Kiểm tra trim khoảng trắng họ tên,"1. Nhập “ Nguyễn Văn A ” 
 2. Submit form",Hệ thống tự trim dữ liệu,Low,,,,,
TC_T02_020,Kiểm tra nhập họ tên có số,1. Nhập “Nguyễn Văn A123”,Hiển thị lỗi họ tên không hợp lệ,Medium,,,,,
TC_T02_021,Kiểm tra nhập họ tên có ký tự đặc biệt,1. Nhập “Nguyễn @ Văn A”,Hiển thị lỗi validate,Medium,,,,,
TC_T02_022,Kiểm tra giới hạn ký tự họ tên,1. Nhập họ tên vượt max length,Không cho nhập vượt giới hạn,Low,,,,,
TC_T02_023,Kiểm tra nút “Gửi đăng ký” khi thiếu dữ liệu,1. Không nhập đủ thông tin,Nút disabled hoặc validate đúng,Low,,,,,
TC_T02_024,Kiểm tra loading khi submit hồ sơ,"1. Nhập đủ dữ liệu 
 2. Nhấn gửi",Hiển thị loading trong lúc xử lý,Medium,,,,,
TC_T02_025,Kiểm tra spam nút “Gửi đăng ký”,1. Nhấn nhiều lần liên tục nút gửi,Chỉ tạo 1 hồ sơ đăng ký,Medium,,,,,
TC_T02_026,Kiểm tra timeout API đăng ký,"1. Giả lập mạng chậm 
 2. Submit hồ sơ",Hiển thị timeout phù hợp,Medium,,,,,
TC_T02_027,Kiểm tra mất mạng khi gửi đăng ký,"1. Tắt Internet 
 2. Submit form",Hiển thị lỗi kết nối mạng,High,,,,,
TC_T02_028,Kiểm tra đăng ký với CCCD đã tồn tại,"1. Nhập CCCD đã đăng ký 
 2. Submit form",Hiển thị “CCCD đã tồn tại”,High,,,,,
TC_T02_029,Kiểm tra chống XSS tại field họ tên,"1. Nhập <script>alert(1)</script> 
 2. Submit",Script không được thực thi,Medium,,,,,
TC_T02_030,Kiểm tra upload nhiều lần ảnh CCCD,"1. Upload ảnh lần 1 
 2. Upload lại ảnh khác",Ảnh mới được cập nhật,Low,,,,,
TC_T02_031,Kiểm tra preview ảnh sau upload,1. Upload ảnh CCCD,Hiển thị preview ảnh đúng,Low,,,,,
TC_T02_032,Kiểm tra xóa ảnh đã upload,"1. Upload ảnh 
 2. Nhấn xóa ảnh",Ảnh bị remove khỏi form,Low,,,,,
TC_T02_033,Kiểm tra giữ dữ liệu khi submit lỗi,1. Submit form thiếu field,Các dữ liệu đã nhập vẫn được giữ,Medium,,,,,
TC_T02_034,Kiểm tra keyboard số tại field CCCD trên mobile,1. Focus field CCCD,Hiển thị bàn phím số,Low,,,,,
TC_T02_035,Kiểm tra thứ tự tab/focus field,1. Nhấn Tab trên keyboard,Focus di chuyển đúng thứ tự field,Low,,,,,
TC_T02_036,Kiểm tra khả năng copy/paste CCCD,"1. Copy CCCD 
 2. Paste vào field",Dữ liệu được nhập đúng,Low,,,,,
TC_T02_037,Kiểm tra ký tự Unicode trong họ tên,1. Nhập tên tiếng Việt có dấu,Hệ thống lưu đúng Unicode,Medium,,,,,
TC_T02_038,Kiểm tra submit bằng phím Enter,"1. Nhập đầy đủ dữ liệu 
 2. Nhấn Enter",Form được submit đúng,Low,,,,,
TC_T02_039,Kiểm tra trạng thái hồ sơ sau đăng ký,"1. Đăng ký thành công 
 2. Kiểm tra hồ sơ",Trạng thái = Pending/Chờ duyệt,High,,,,,
UC_03 Quên mật khẩu / Đặt lại qua OTP,,,,,,,,,
TC_T03_001,Mở màn Quên mật khẩu,"1. Mở màn hình đăng nhập Tasker 
2. Nhấn “Quên mật khẩu?”",Hệ thống chuyển sang màn M03,High,,,,,
TC_T03_002,Gửi OTP thành công,"1. Nhập SĐT hợp lệ 
2. Nhấn “Gửi OTP”",OTP được gửi qua SMS và hiển thị màn nhập OTP,Medium,,,,,
TC_T03_003,Bỏ trống số điện thoại,"1. Để trống field SĐT 
2. Nhấn “Gửi OTP”",Hiển thị lỗi yêu cầu nhập số điện thoại,Medium,,,,,
TC_T03_004,Nhập SĐT sai định dạng,"1. Nhập ký tự chữ hoặc SĐT không đủ số 
2. Nhấn “Gửi OTP”",Hiển thị lỗi SĐT không hợp lệ,High,,,,,
TC_T03_005,SĐT chưa đăng ký,"1. Nhập SĐT chưa tồn tại
2. Nhấn “Gửi OTP”",Hiển thị “Tài khoản không tồn tại”,High,,,,,
TC_T03_006,Hiển thị màn nhập OTP,"1. Nhập SĐT hợp lệ 
2. Nhấn “Gửi OTP”",Hiển thị 6 ô nhập OTP,High,,,,,
TC_T03_007,Nhập OTP đúng,"1. Nhập đúng 6 số OTP 
2. Nhấn “Xác nhận”",OTP hợp lệ và chuyển sang màn đặt mật khẩu mới,Medium,,,,,
TC_T03_008,Nhập sai OTP,"1. Nhập OTP sai 
2. Nhấn “Xác nhận”",Hiển thị “OTP không chính xác”,Medium,,,,,
TC_T03_009,OTP hết hạn,"1. Chờ OTP hết hạn 
2. Nhập OTP 
3. Nhấn “Xác nhận”",Hiển thị “OTP đã hết hạn”,High,,,,,
TC_T03_010,Gửi lại OTP,"1. Chờ countdown 30s kết thúc 
2. Nhấn “Gửi lại OTP”",OTP mới được gửi thành công,Medium,,,,,
TC_T03_011,Không cho resend trước 30s,"1. Gửi OTP 
2. Nhấn “Gửi lại OTP” trước 30s",Nút resend bị disable hoặc không hoạt động,Medium,,,,,
TC_T03_012,Đặt mật khẩu mới thành công,"1. Nhập mật khẩu mới 
2. Nhập xác nhận mật khẩu
3. Nhấn “Lưu mật khẩu”",Hiển thị “Đặt lại mật khẩu thành công”,High,,,,,
TC_T03_013,Confirm password không khớp,"1. Nhập mật khẩu mới 
2. Nhập confirm password khác 
3. Nhấn lưu",Hiển thị lỗi mật khẩu không khớp,High,,,,,
TC_T03_014,Login bằng mật khẩu mới,"1. Quay lại màn login 
2. Nhập SĐT và mật khẩu mới 
3. Nhấn đăng nhập",Đăng nhập thành công,High,,,,,
TC_T03_015,Không login được bằng mật khẩu cũ,"1. Nhập SĐT 
2. Nhập mật khẩu cũ 
3. Nhấn đăng nhập",Hiển thị sai mật khẩu,High,,,,,
TC_T03_016,Mất internet khi gửi OTP,"1. Tắt kết nối mạng 
2. Nhập SĐT 
3. Nhấn “Gửi OTP”",Hiển thị lỗi kết nối mạng,Medium,,,,,
TC_T03_017,Server lỗi khi reset password,"1. Nhập OTP hợp lệ 
2. Nhập mật khẩu mới 
3. Nhấn lưu khi server lỗi",Hiển thị “Vui lòng thử lại sau”,Medium,,,,,
TC_T03_018,Double click không tạo duplicate request,"1. Nhập OTP đúng 
2. Double click nút “Xác nhận”",Hệ thống chỉ gửi 1 request,Medium,,,,,
TC_T03_019,Responsive UI,"1. Mở màn hình trên mobile/tablet 
2. Resize màn hình","UI hiển thị đúng, không vỡ layout",Low,,,,,
TC_T03_020,Bảo mật thông tin OTP,"1. Gửi OTP 
2. Kiểm tra response/API",Không hiển thị OTP hoặc dữ liệu nhạy cảm,High,,,,,
UC_04 Trạng thái Online / Offline,,,,,,,,,
TC_T04_001,Hiển thị trạng thái hiện tại của Tasker,"1. Đăng nhập vào M16 
2. Quan sát header",Hiển thị đúng trạng thái Online/Offline hiện tại,High,,,,,
TC_T04_002,Chuyển từ Online sang Offline,"1. Đang ở trạng thái Online 
2. Nhấn nút trạng thái trên header",Trạng thái chuyển sang Offline ngay lập tức,High,,,,,
TC_T04_003,Chuyển từ Offline sang Online,"1. Đang ở trạng thái Offline 
2. Nhấn nút trạng thái",Trạng thái chuyển sang Online thành công,High,,,,,
TC_T04_004,Hiển thị màu trạng thái đúng,1. Chuyển trạng thái Online/Offline,"Online hiển thị chấm xanh, Offline hiển thị đúng màu thiết kế",Medium,,,,,
TC_T04_005,Cập nhật trạng thái realtime,"1. Chuyển trạng thái 
2. Refresh trang",Trạng thái vẫn được giữ đúng,High,,,,,
TC_T04_006,Không nhận đơn mới khi Offline,"1. Chuyển sang Offline 
2. Chờ hệ thống phân đơn",Không nhận đơn mới,Medium,,,,,
TC_T04_007,Nhận đơn khi Online,"1. Chuyển sang Online 
2. Chờ hệ thống phân đơn",Có thể nhận đơn mới,Medium,,,,,
TC_T04_008,Mất mạng khi chuyển trạng thái,"1. Tắt mạng 
2. Nhấn đổi trạng thái",Hiển thị lỗi cập nhật trạng thái thất bại,High,,,,,
TC_T04_009,Double click nút trạng thái,1. Double click nút Online/Offline,Hệ thống chỉ xử lý 1 request,Medium,,,,,
TC_T04_010,Loading khi cập nhật trạng thái,1. Nhấn đổi trạng thái,Hiển thị loading/spinner khi xử lý,Medium,,,,,
TC_T04_011,Không đổi trạng thái khi server lỗi,1. Nhấn đổi trạng thái khi server lỗi,Hiển thị “Vui lòng thử lại sau” và trạng thái không đổi,High,,,,,
TC_T04_012,Đồng bộ trạng thái giữa nhiều thiết bị,"1. Login cùng tài khoản trên 2 thiết bị 
2. Đổi trạng thái ở thiết bị A",Thiết bị B cập nhật trạng thái đúng,Medium,,,,,
TC_T04_013,Giữ trạng thái sau khi đăng nhập lại,"1. Chuyển Online 
2. Logout/Login lại",Hệ thống hiển thị đúng trạng thái trước đó,Medium,,,,,
TC_T04_014,Không cho truy cập chức năng khi chưa login,"1. Chưa đăng nhập 
2. Truy cập M16",Redirect về màn login,Medium,,,,,
TC_T04_015,Responsive UI nút trạng thái,1. Mở trên mobile/tablet,Nút trạng thái hiển thị đúng UI,Low,,,,,
TC_T04_016,Kiểm tra tốc độ cập nhật trạng thái,1. Nhấn đổi trạng thái,Trạng thái cập nhật trong thời gian cho phép,Medium,,,,,
TC_T04_017,Ghi log thay đổi trạng thái,1. Đổi Online/Offline,Hệ thống lưu log thay đổi trạng thái,Medium,,,,,
TC_T04_018,Không expose lỗi hệ thống,1. Trigger API error khi đổi trạng thái,Không hiển thị SQL/API detail,High,,,,,
TC_T04_019,API cập nhật trạng thái trả đúng mã,1. Gửi request đổi trạng thái,Response trả đúng status code,Medium,,,,,
TC_T04_020,Spam click đổi trạng thái liên tục,1. Nhấn đổi trạng thái liên tục nhiều lần,"Hệ thống xử lý ổn định, không crash",Medium,,,,,
UC_05 Xem đơn mới,,,,,,,,,
TC_T05_001,Kiểm tra hiển thị đơn mới khi Tasker Online,"1. Đăng nhập Tasker 
 2. Chuyển trạng thái Online 
 3. Chờ hệ thống đẩy đơn mới",Đơn mới hiển thị trong mục “Đơn mới”,High,,,,,
TC_T05_002,Kiểm tra không nhận đơn khi Tasker Offline,"1. Chuyển trạng thái Offline 
 2. Chờ có đơn mới",Không hiển thị đơn mới,High,,,,,
TC_T05_003,Kiểm tra hiển thị tên dịch vụ,1. Có đơn mới được đẩy về,Hiển thị đúng tên dịch vụ (Dọn nhà/Trông trẻ/Mua hộ),High,,,,,
TC_T05_004,Kiểm tra hiển thị số giờ làm việc,1. Có đơn mới,Hiển thị đúng số giờ của đơn,Medium,,,,,
TC_T05_005,Kiểm tra hiển thị mức thu nhập,1. Có đơn mới,Hiển thị đúng thu nhập (+Xk),High,,,,,
TC_T05_006,Kiểm tra hiển thị khoảng cách địa lý,1. Có đơn mới,Hiển thị đúng khoảng cách (vd: 0.4km),Medium,,,,,
TC_T05_007,Kiểm tra hiển thị thời gian thực hiện,1. Có đơn mới,Hiển thị đúng thời gian thực hiện đơn,Medium,,,,,
TC_T05_008,Kiểm tra hiển thị đầy đủ thông tin đơn,1. Có đơn mới,"Hiển thị đầy đủ dịch vụ, giờ, thu nhập, khoảng cách, thời gian",High,,,,,
TC_T05_009,Kiểm tra nhận đơn thành công,"1. Có đơn mới 
 2. Nhấn “Nhận đơn”",Đơn được nhận thành công,High,,,,,
TC_T05_010,Kiểm tra bỏ qua đơn,"1. Có đơn mới 
 2. Nhấn “Bỏ qua”",Đơn bị ẩn hoặc chuyển trạng thái bỏ qua,Medium,,,,,
TC_T05_011,Kiểm tra trạng thái chờ khi không có đơn,"1. Tasker Online 
 2. Không có đơn phù hợp",Hiển thị trạng thái “Đang chờ đơn mới”,Medium,,,,,
TC_T05_012,Kiểm tra thông báo realtime khi có đơn mới,"1. Tasker Online 
 2. Hệ thống tạo đơn phù hợp",Hiển thị notification/popup đơn mới realtime,High,,,,,
TC_T05_013,Kiểm tra âm thanh thông báo đơn mới,1. Có đơn mới được gửi,Phát âm thanh thông báo,Low,,,,,
TC_T05_014,Kiểm tra rung thiết bị khi có đơn mới trên mobile,1. Có đơn mới,Thiết bị rung thông báo,Low,,,,,
TC_T05_015,Kiểm tra nhiều đơn mới cùng lúc,1. Hệ thống gửi nhiều đơn,"Danh sách đơn hiển thị đúng, không trùng",High,,,,,
TC_T05_016,Kiểm tra thứ tự hiển thị đơn mới,1. Có nhiều đơn mới,Đơn mới nhất hiển thị trên cùng,Medium,,,,,
TC_T05_017,Kiểm tra tự động refresh danh sách đơn,"1. Tasker đang online 
 2. Có đơn mới",Danh sách cập nhật realtime không cần reload,Medium,,,,,
TC_T05_018,Kiểm tra đơn hết hạn,1. Chờ đơn quá thời gian nhận,Đơn tự biến mất hoặc disabled,Medium,,,,,
TC_T05_019,Kiểm tra nhận đơn đã bị người khác nhận,"1. Tasker A và B cùng thấy đơn 
 2. Tasker A nhận trước 
 3. Tasker B nhận sau",Tasker B nhận thông báo đơn đã được nhận,High,,,,,
TC_T05_020,Kiểm tra loading khi nhận đơn,1. Nhấn “Nhận đơn”,Hiển thị loading trong lúc xử lý,Low,,,,,
TC_T05_021,Kiểm tra spam nút “Nhận đơn”,1. Nhấn nhiều lần nút nhận đơn,Chỉ gửi 1 request nhận đơn,Medium,,,,,
TC_T05_022,Kiểm tra spam nút “Bỏ qua”,1. Nhấn nhiều lần nút bỏ qua,Chỉ xử lý 1 request,Low,,,,,
TC_T05_023,Kiểm tra mất mạng khi nhận đơn,"1. Có đơn mới 
 2. Tắt mạng 
 3. Nhấn nhận đơn",Hiển thị lỗi kết nối mạng,High,,,,,
TC_T05_024,Kiểm tra timeout API nhận đơn,"1. Mô phỏng mạng chậm 
 2. Nhấn nhận đơn",Hiển thị timeout phù hợp,Medium,,,,,
TC_T05_025,Kiểm tra chuyển trạng thái Online/Offline realtime,"1. Đang Online 
 2. Chuyển Offline",Ngừng nhận đơn mới ngay lập tức,Medium,,,,,
TC_T05_026,Kiểm tra đơn không phù hợp không hiển thị,"1. Tasker chỉ nhận Dọn nhà 
 2. Hệ thống tạo đơn Trông trẻ",Không hiển thị đơn không phù hợp,High,,,,,
TC_T05_027,Kiểm tra khoảng cách làm tròn đúng format,1. Có đơn khoảng cách thực tế,Hiển thị đúng format km,Low,,,,,
TC_T05_028,Kiểm tra định dạng thu nhập,1. Có đơn mới,Thu nhập hiển thị đúng format (+100k),Low,,,,,
TC_T05_029,Kiểm tra scroll danh sách nhiều đơn,1. Có nhiều đơn mới,"Scroll mượt, không vỡ UI",Medium,,,,,
TC_T05_030,Kiểm tra UI responsive trên mobile,1. Mở app trên nhiều kích thước màn hình,UI hiển thị đúng,Medium,,,,,
TC_T05_031,Kiểm tra giữ trạng thái danh sách đơn sau refresh app,"1. Có danh sách đơn 
 2. Refresh app",Danh sách được load lại đúng,Medium,,,,,
TC_T05_032,Kiểm tra hiển thị icon/trạng thái đơn mới,1. Có đơn mới,Đơn có badge/tag “Mới”,Low,,,,,
TC_T05_033,Kiểm tra nhận đơn thành công điều hướng đúng,1. Nhấn “Nhận đơn”,Điều hướng sang màn chi tiết đơn,High,,,,,
TC_T05_034,Kiểm tra không hiển thị đơn đã bỏ qua,"1. Bỏ qua đơn 
 2. Reload màn hình",Đơn không hiển thị lại,Medium,,,,,
TC_T05_035,Kiểm tra hiệu năng tải danh sách đơn,1. Có nhiều đơn mới,"Danh sách load nhanh, không lag",Medium,,,,,
TC_T05_036,Kiểm tra chống duplicate đơn,1. Hệ thống gửi cùng 1 đơn nhiều lần,Chỉ hiển thị 1 đơn duy nhất,High,,,,,
TC_T05_037,Kiểm tra khi app chạy background có đơn mới,"1. Đưa app xuống background 
 2. Có đơn mới",Hiển thị push notification,Medium,,,,,
TC_T05_038,Kiểm tra khi mở lại app từ notification,1. Nhấn notification đơn mới,Điều hướng đúng tới màn hình đơn,Medium,,,,,
