TESTCASE ID,Tên Test Case,Các bước thực hiện,Kết quả mong đợi,Độ ưu tiên,Kết quả thực tế,Trạng thái,Note,Dev
TC-KH01-010,Kiểm tra mật khẩu phân biệt chữ hoa chữ thường,"1. Nhập đúng số điện thoại 
2. Nhập mật khẩu sai kiểu chữ hoa/thường 
3. Nhấn “Đăng nhập”",Đăng nhập thất bại và hiển thị thông báo sai mật khẩu,Medium,"Hiển thị thông báo"" phiên đăng nhập hết hạn""",FAIL,,
TC-KH01-011,Kiểm tra khoảng trắng đầu/cuối ở số điện thoại,"1. Nhập số điện thoại có khoảng trắng đầu/cuối 
2. Nhập đúng mật khẩu 
3. Nhấn “Đăng nhập”",Chặn luôn khoảng trắng đầu/ cuối ,Medium,Vẫn nhập được bình thường,FAIL,,
TC-KH01-012,Kiểm tra khoảng trắng đầu/cuối ở mật khẩu,"1. Nhập số điện thoại hợp lệ 
2. Nhập mật khẩu có khoảng trắng đầu/cuối 
3. Nhấn “Đăng nhập”",Chặn luôn khoảng trắng đầu/ cuối ,Medium,Vẫn hiển thị ký tự ,FAIL,,
TC-KH01-013,Điều hướng sang màn hình Quên mật khẩu,"1. Mở màn hình đăng nhập 
2. Nhấn “Quên mật khẩu?”",Hệ thống chuyển sang màn hình M03 – forgot-password.php,High,,PASS,,
TC-KH01-014,Kiểm tra nút Đăng nhập hoạt động nhiều lần liên tiếp,"1. Nhập thông tin hợp lệ 
2. Nhấn liên tục nút “Đăng nhập” nhiều lần","Hệ thống chỉ xử lý một request đăng nhập, không bị duplicate session",Medium,,PASS,,
TC-KH01-015,Kiểm tra session sau khi đăng nhập thành công,"1. Đăng nhập thành công 
2. Tắt app hoặc refresh trang 
3. Mở lại hệ thống",Người dùng vẫn còn session đăng nhập nếu chưa hết hạn,Medium,,PASS,,
TC-KH01-016,Kiểm tra session hết hạn,"1. Đăng nhập hệ thống 
2. Chờ quá thời gian timeout session 
3. Thực hiện thao tác bất kỳ",Hệ thống yêu cầu đăng nhập lại,Medium,,Not run,,
TC-KH01-017,Kiểm tra tốc độ phản hồi đăng nhập,"1. Nhập thông tin hợp lệ 
2. Nhấn “Đăng nhập”","Hệ thống phản hồi trong thời gian cho phép, không treo màn hình",Low,,Not run,,
TC-KH01-018,Kiểm tra UI màn hình đăng nhập,"1. Mở màn hình đăng nhập 
2. Quan sát giao diện, font chữ, vị trí button, input","Giao diện hiển thị đúng thiết kế, không vỡ layout",Low,"Logo kết nối đăng nhập Facebook, google hiển thị lỗi",FAIL,,
TC-KH01-019,Kiểm tra đăng nhập khi mất kết nối mạng,"1. Tắt mạng internet 
2. Nhập tài khoản hợp lệ 
3. Nhấn “Đăng nhập”",Hiển thị thông báo lỗi kết nối mạng,High,"Hiển thị lỗi thông báo"" Fail to fetch""",FAIL,,
TC-KH01-020,Kiểm tra bảo mật trường mật khẩu,"1. Mở màn hình đăng nhập 
2. Nhập mật khẩu",Mật khẩu được ẩn dưới dạng ký tự “•” hoặc “*”,Medium,,PASS,,
UC-KH-02 — Quên mật khẩu / Đặt lại qua OTP,,,,,,,,
TC-KH02-001,Chuyển sang màn hình Quên mật khẩu thành công,1. Tại màn hình đăng nhập nhấn “Quên mật khẩu?”,Hệ thống mở màn hình M03,High,,,,
TC-KH02-002,Gửi OTP thành công với số điện thoại hợp lệ,"1. Nhập số điện thoại đã đăng ký 
2. Nhấn gửi OTP",Hệ thống gửi OTP 6 số qua SMS thành công,High,,,,
TC-KH02-003,Nhập OTP đúng và đặt lại mật khẩu thành công,"1. Nhập số điện thoại hợp lệ 
2. Nhận OTP 
3. Nhập đúng OTP 
4. Nhấn “Xác nhận” 
5. Nhập mật khẩu mới",Mật khẩu được cập nhật thành công,High,,,,
TC-KH02-004,Nhập OTP sai,"1. Nhập số điện thoại hợp lệ 
2. Nhập OTP không đúng 
3. Nhấn “Xác nhận”",Hiển thị thông báo OTP không chính xác,High,,,,
TC-KH02-005,OTP hết hạn,"1. Yêu cầu gửi OTP 
2. Chờ quá thời gian hiệu lực OTP 
3. Nhập OTP cũ",Hệ thống thông báo OTP hết hạn,High,,,,
TC-KH02-006,Gửi lại OTP sau 30 giây,"1. Yêu cầu OTP 
2. Chờ đủ 30 giây 
3. Nhấn “Gửi lại OTP”",Hệ thống gửi OTP mới thành công,Medium,,,,
TC-KH02-007,Không cho gửi lại OTP trước 30 giây,"1. Yêu cầu OTP 
2. Nhấn “Gửi lại OTP” trước 30 giây",Nút gửi lại bị disable hoặc hiển thị countdown,Medium,,,,
TC-KH02-008,Để trống số điện thoại khi yêu cầu OTP,"1. Không nhập số điện thoại 
2. Nhấn gửi OTP",Hiển thị validate bắt buộc nhập số điện thoại,High,,,,
TC-KH02-009,Nhập số điện thoại chưa đăng ký,"1. Nhập số điện thoại không tồn tại 
2. Nhấn gửi OTP",Hệ thống thông báo tài khoản không tồn tại,High,,,,
TC-KH02-010,Kiểm tra định dạng OTP không hợp lệ,"1. Nhập OTP chứa ký tự chữ hoặc ít hơn 6 số 
2. Nhấn xác nhận",Hiển thị lỗi OTP không hợp lệ,Medium,,,,
TC-KH02-011,Kiểm tra nhập thiếu OTP,"1. Chỉ nhập một phần OTP 
2. Nhấn “Xác nhận”",Hệ thống yêu cầu nhập đủ 6 số OTP,Medium,,,,
TC-KH02-012,Đặt mật khẩu mới thành công,"1. Xác thực OTP đúng 
2. Nhập mật khẩu mới hợp lệ 
3. Xác nhận đổi mật khẩu",Hệ thống lưu mật khẩu mới thành công,High,,,,
TC-KH02-013,Đăng nhập bằng mật khẩu mới sau khi reset,"1. Reset mật khẩu thành công 
2. Quay lại màn hình đăng nhập 
3. Đăng nhập bằng mật khẩu mới",Đăng nhập thành công vào hệ thống,High,,,,
TC-KH02-014,Không đăng nhập được bằng mật khẩu cũ sau khi reset,"1. Reset mật khẩu thành công 
2. Thử đăng nhập bằng mật khẩu cũ",Hệ thống từ chối đăng nhập,High,,,,
TC-KH02-015,Kiểm tra giới hạn số lần nhập sai OTP,1. Nhập sai OTP nhiều lần liên tiếp,Hệ thống khóa OTP hoặc yêu cầu gửi OTP mới theo rule bảo mật,Medium,,,,
TC-KH02-016,Kiểm tra bảo mật OTP,"1. Yêu cầu OTP 
2. Quan sát dữ liệu hiển thị trên màn hình",OTP không hiển thị công khai trên UI hoặc log,Medium,,,,
TC-KH02-017,Kiểm tra UI màn hình nhập OTP,"1. Mở màn hình nhập OTP 
2. Kiểm tra layout 6 ô OTP, button xác nhận",Giao diện hiển thị đúng thiết kế,Low,,,,
TC-KH02-018,Kiểm tra reset mật khẩu khi mất kết nối mạng,"1. Tắt internet 
2. Thực hiện xác nhận OTP hoặc đổi mật khẩu",Hệ thống hiển thị lỗi kết nối mạng,High,,,,
TC-KH02-019,Kiểm tra lưu dữ liệu sau khi đổi mật khẩu,"1. Đổi mật khẩu thành công 
2. Đăng xuất 
3. Đăng nhập lại bằng mật khẩu mới",Dữ liệu mật khẩu mới được lưu chính xác,High,,,,
TC-KH02-020,Kiểm tra nhập nhiều OTP liên tục (Race condition),"1. Nhập nhiều OTP khác nhau liên tục 
2. Nhấn xác nhận nhiều lần",Hệ thống chỉ xử lý một OTP hợp lệ duy nhất,Low,,,,
UC-KH-03 — Xem trang chủ,,,,,,,,
TC-KH03-001,Hiển thị Trang chủ sau khi đăng nhập thành công,"1. Đăng nhập bằng tài khoản hợp lệ 
2. Quan sát màn hình sau đăng nhập",Hệ thống chuyển đến màn hình Trang chủ M04 thành công,High,,PASS,,
TC-KH03-002,Hiển thị lời chào người dùng,"1. Đăng nhập vào hệ thống 
2. Quan sát phần đầu Trang chủ",Hiển thị đúng lời chào và tên người dùng,High,,PASS,,
TC-KH03-003,Hiển thị đúng địa chỉ căn hộ,"1. Đăng nhập vào hệ thống 
2. Quan sát thông tin địa chỉ căn hộ tại Trang chủ",Hiển thị đúng địa chỉ căn hộ của cư dân (ví dụ: S2.05 · 12A05),High,,Not run,,
TC-KH03-004,Hiển thị thanh tìm kiếm dịch vụ,"1. Mở Trang chủ 
2. Quan sát khu vực tìm kiếm",Thanh tìm kiếm “Tìm kiếm dịch vụ...” hiển thị đầy đủ,High,,PASS,,
TC-KH03-005,Hiển thị đầy đủ 3 dịch vụ chính,"1. Mở Trang chủ 
2. Quan sát danh sách dịch vụ","Hiển thị đủ 3 dịch vụ: Dọn nhà, Trông trẻ, Mua hộ",High,,PASS,,
TC-KH03-006,Kiểm tra icon và tên dịch vụ hiển thị đúng,"1. Mở Trang chủ 
2. Quan sát icon và text từng dịch vụ",Icon và tên dịch vụ hiển thị đúng thiết kế,Medium,,PASS,,
TC-KH03-007,Hiển thị banner “Gói gia đình 30 ngày”,"1. Mở Trang chủ 
2. Cuộn xuống khu vực banner",Banner “Gói gia đình 30 ngày” hiển thị đầy đủ,High,,PASS,,
TC-KH03-008,Hiển thị danh sách Tasker gần bạn,"1. Mở Trang chủ 
2. Cuộn xuống phần “Chị Ơi! gần bạn”",Danh sách Tasker khả dụng được hiển thị,High,,PASS,,
TC-KH03-009,"Hiển thị avatar, tên và đánh giá sao của Tasker","1. Mở danh sách Tasker gần bạn 
2. Quan sát từng Tasker","Hiển thị đầy đủ avatar, tên và số sao đánh giá",Medium,,PASS,,
TC-KH03-010,Kiểm tra thanh điều hướng dưới màn hình,"1. Mở Trang chủ 
2. Quan sát bottom navigation","Hiển thị đủ các tab: Trang chủ, Hoạt động, Thông báo, tài khoản ",High,,PASS,,
TC-KH03-011,Chuyển sang màn hình Thông báo từ icon thông báo,"1. Mở Trang chủ 
2. Nhấn icon thông báo",Hệ thống chuyển sang màn hình M11 – notifications.php,High,,PASS,,
TC-KH03-012,Kiểm tra load dữ liệu Trang chủ khi có internet,"1. Đăng nhập hệ thống 
2. Mở Trang chủ",Dữ liệu Trang chủ tải thành công và đầy đủ,High,,PASS,,
TC-KH03-013,Kiểm tra hiển thị khi mất kết nối mạng,"1. Tắt internet 
2. Mở lại Trang chủ",Hệ thống hiển thị thông báo lỗi mạng hoặc trạng thái offline,Medium,,Not run,,
TC-KH03-014,Kiểm tra giao diện responsive của Trang chủ,"1. Mở ứng dụng trên nhiều kích thước màn hình 
2. Quan sát layout",Giao diện không bị vỡ hoặc chồng lấn,Medium,,Not run,,
TC-KH03-015,Kiểm tra tốc độ tải Trang chủ,"1. Đăng nhập vào hệ thống 
2. Đo thời gian tải Trang chủ",Trang chủ tải trong thời gian cho phép,Low,,Not run,,
UC-KH-04 — Tìm kiếm dịch vụ,,,,,,,,
TC-KH04-001,Tìm kiếm dịch vụ với từ khóa hợp lệ,"1. Tại Trang chủ nhấn thanh tìm kiếm 
2. Nhập từ khóa “Dọn nhà” 
3. Quan sát kết quả",Hệ thống hiển thị danh sách dịch vụ phù hợp,High,,,,
TC-KH04-002,Hiển thị bàn phím khi nhấn vào thanh tìm kiếm,1. Nhấn vào thanh tìm kiếm dịch vụ,Bàn phím hiển thị để người dùng nhập liệu,Medium,,,,
TC-KH04-003,Tìm kiếm không phân biệt chữ hoa chữ thường,"1. Nhập từ khóa “dỌn NHà” 
2. Quan sát kết quả",Hệ thống vẫn trả về kết quả đúng,Medium,,,,
TC-KH04-004,Tìm kiếm với ký tự đặc biệt,"1. Nhập ký tự đặc biệt như “@@@” 
2. Quan sát kết quả",Hệ thống không bị lỗi và xử lý đúng dữ liệu,Medium,,,,
TC-KH04-005,Tìm kiếm với từ khóa không tồn tại,"1. Nhập từ khóa không có trong hệ thống 
2. Quan sát kết quả",Hiển thị thông báo “Không có kết quả”,High,,,,
TC-KH04-006,Để trống ô tìm kiếm,"1. Nhấn vào thanh tìm kiếm 
2. Không nhập dữ liệu",Hệ thống hiển thị danh sách mặc định hoặc không thực hiện tìm kiếm,Medium,,,,
TC-KH04-007,Kiểm tra kết quả gợi ý khi nhập từ khóa,1. Nhập một phần từ khóa “Dọn”,Hệ thống hiển thị danh sách gợi ý liên quan,Medium,,,,
TC-KH04-008,Kiểm tra tốc độ phản hồi tìm kiếm,"1. Nhập từ khóa tìm kiếm 
2. Quan sát thời gian phản hồi",Kết quả tìm kiếm hiển thị nhanh và không lag,Low,,,,
TC-KH04-009,Kiểm tra tìm kiếm khi mất mạng,"1. Tắt internet 
2. Thực hiện tìm kiếm dịch vụ",Hệ thống hiển thị lỗi kết nối mạng,Medium,,,,
TC-KH04-010,Kiểm tra xóa từ khóa tìm kiếm,"1. Nhập từ khóa tìm kiếm 
2. Xóa toàn bộ ký tự",Hệ thống trở về trạng thái tìm kiếm ban đầu,Low,,,,
UC-KH-05 — Xem Tasker gần bạn,,,,,,,,
TC-KH05-001,Hiển thị danh sách Tasker gần vị trí cư dân,"1. Mở Trang chủ 
2. Cuộn xuống phần “Chị Ơi! gần bạn”",Hiển thị danh sách Tasker gần vị trí cư dân,High,,PASS,Sau test thêm case khi task có vị trí gần có hiển thị không ,
TC-KH05-002,Hiển thị đầy đủ thông tin Tasker,1. Quan sát từng Tasker trong danh sách,"Hiển thị avatar, tên và đánh giá sao đầy đủ",High,,PASS,,
TC-KH05-003,Hiển thị đúng số sao đánh giá Tasker,1. Quan sát số sao đánh giá của từng Tasker,Điểm đánh giá hiển thị đúng dữ liệu hệ thống,Medium,,Not run,,
TC-KH05-004,Chuyển sang danh sách đầy đủ khi nhấn “Xem tất cả”,1. Nhấn nút “Xem tất cả”,Hệ thống chuyển sang màn hình danh sách đầy đủ Tasker,High,,PASS,,
TC-KH05-005,Hiển thị khi không có Tasker khả dụng,"1. Kiểm tra tại khu vực không có Tasker 
2. Mở Trang chủ",Hệ thống hiển thị thông báo không có Tasker khả dụng,High,,Not run,,
TC-KH05-006,Kiểm tra scroll danh sách Tasker,1. Cuộn danh sách Tasker gần bạn,Danh sách scroll mượt và không bị lỗi UI,Low,,Not run,,
TC-KH05-007,Kiểm tra tải avatar Tasker,"1. Mở danh sách Tasker 
2. Quan sát hình ảnh avatar",Avatar hiển thị đúng và không bị lỗi ảnh,Medium,,Not run,,
TC-KH05-008,Kiểm tra lại avatar Tasker khi tasker thay đổi avatar ,"1. Mở danh sách Tasker 
2. Quan sát hình ảnh avatar",avatar mới hiển thị đầy đủ ,Medium,,Not run,,
TC-KH05-009,Kiểm tra dữ liệu Tasker khi mất mạng,"1. Tắt internet 
2. Mở phần Tasker gần bạn",Hệ thống hiển thị lỗi tải dữ liệu,Medium,,Not run,,
UC-KH-06 — Xem gói gia đình 30 ngày,,,,,,,,
TC-KH06-001,Hiển thị banner gói gia đình,"1. Mở Trang chủ 
2. Quan sát banner gói gia đình",Banner “Gói gia đình 30 ngày” hiển thị đúng,High,,PASS,,
TC-KH06-002,Hiển thị nhãn “GÓI GIA ĐÌNH”,1. Quan sát banner gói gia đình,Nhãn “GÓI GIA ĐÌNH” hiển thị đúng thiết kế,Medium,,PASS,,
TC-KH06-003,Xem chi tiết gói khi nhấn “Tìm hiểu”,1. Nhấn nút “Tìm hiểu” trên banner,Hệ thống chuyển sang màn hình chi tiết gói gia đình,High,,PASS,,
TC-KH06-004,Kiểm tra nội dung chi tiết gói gia đình,"1. Mở màn hình chi tiết gói 
2. Kiểm tra thông tin hiển thị",Hiển thị đầy đủ thông tin gói gia đình 30 ngày,High,,PASS,,
TC-KH06-005,Điều hướng sang gói  gia đình từ trang Cá nhân,"1. Vào tab “Cá nhân” 
2. Nhấn “Gói gia đình”",Hệ thống mở đúng màn hình thông tin gói gia đình,Medium,,,,
TC-KH06-006,Kiểm tra hiển thị banner khi mất mạng,"1. Tắt internet 
2. Mở Trang chủ",Banner vẫn hiển thị hoặc hiển thị lỗi tải dữ liệu phù hợp,Low,,,,
TC-KH06-007,Kiểm tra giao diện banner gói gia đình,"1. Mở Trang chủ 
2. Quan sát banner","Banner hiển thị đúng màu sắc, hình ảnh và bố cục thiết kế",Low,,,,
UC-KH-07 — Đặt dịch vụ dọn nhà,,,,,,,,
TC-KH07-001,Đặt dịch vụ dọn nhà cơ bản thành công,"1. Đăng nhập hệ thống 
2. Từ Trang chủ nhấn “Dọn nhà” 
3. Chọn loại “Cơ bản” 
4. Chọn ngày và giờ hợp lệ 
5. Chọn số giờ 2h 
6. Nhập ghi chú 
7. Nhấn “Đặt & thanh toán”",Đơn dọn nhà được tạo thành công và hệ thống bắt đầu tìm Tasker,High,,,,
TC-KH07-002,Đặt dịch vụ dọn nhà cao cấp thành công,"1. Mở màn hình đặt dịch vụ dọn nhà 
2. Chọn loại “Cao cấp” 
3. Nhập đầy đủ thông tin hợp lệ 
4. Nhấn “Đặt & thanh toán”",Đơn được tạo thành công với loại dịch vụ Cao cấp,High,,,,
TC-KH07-003,Kiểm tra hiển thị loại dịch vụ,"1. Mở màn hình M05 
2. Quan sát danh sách loại dịch vụ",Hiển thị đầy đủ lựa chọn “Cơ bản” và “Cao cấp”,Medium,,,,
TC-KH07-004,Kiểm tra chọn ngày thực hiện hợp lệ,"1. Chọn ngày hiện tại hoặc ngày tương lai 
2. Tiếp tục đặt đơn",Hệ thống cho phép chọn ngày hợp lệ,High,,,,
TC-KH07-005,Kiểm tra không cho chọn ngày quá khứ,1. Chọn ngày nhỏ hơn ngày hiện tại,Hệ thống không cho phép chọn ngày quá khứ,High,,,,
TC-KH07-006,Kiểm tra chọn giờ thực hiện hợp lệ,1. Chọn giờ nằm trong khung thời gian hỗ trợ,Hệ thống lưu đúng giờ thực hiện,High,,,,
TC-KH07-007,Kiểm tra hiển thị các mốc số giờ,1. Mở dropdown/chọn số giờ,"Hiển thị đủ các lựa chọn 2h, 3h, 4h, 5h",Medium,,,,
TC-KH07-008,Kiểm tra nhập ghi chú cho Tasker,1. Nhập nội dung ghi chú yêu cầu dọn nhà 2. Đặt dịch vụ,Ghi chú được lưu cùng đơn hàng,Medium,,,,
TC-KH07-009,Kiểm tra để trống ghi chú,"1. Không nhập ghi chú 
2. Thực hiện đặt đơn",Hệ thống vẫn cho phép đặt đơn thành công,Medium,,,,
TC-KH07-010,Kiểm tra tính tổng tiền tự động,"1. Chọn loại dịch vụ và số giờ khác nhau 
2. Quan sát tổng tiền",Tổng tiền được cập nhật đúng theo lựa chọn,High,,,,
